query_hist,current_time,memory_type,memory_subtype,content,place,related_person,start_time_has_hour,start_time_not_right,start_time,end_time,remind_time,is_repeat_time,repeat_freq,repeat_value,repeat_last_time
后天晚上六点相亲,`2025-06-26 17:36:42,日程,约见,相亲,,,是,0,`2025-06-28 18:00:00,,,否,,,
下周三全天核对销售数据,`2025-06-26 17:38:18,日程,工作,核对销售数据,,,是,0,`2025-07-02 08:00:00,`2025-07-02 20:00:00,,否,,,
下周五全天年度培训计划制定会,`2025-06-26 17:57:31,日程,会议,年度培训计划制定会,,,是,0,`2025-07-04 08:00:00,`2025-07-04 20:00:00,,否,,,
帮我记下下周一上午十点品牌升级方案评审会,`2025-06-26 18:19:34,日程,会议,品牌升级方案评审会,,,是,0,`2025-06-30 10:00:00,,,否,,,
周六上午九点半包装待发货产品,`2025-06-26 19:40:46,待办,工作,包装待发货产品,,,是,0,`2025-06-28 09:30:00,,,否,,,
周四上午十一点与导师交流,`2025-06-26 20:44:12,日程,会议,与导师交流,,导师,是,0,`2025-06-26 11:00:00,,,否,,,
下周三下午3点挑选运动装备，到时提醒我一下,`2025-06-26 22:08:59,日程,运动,挑选运动装备,,,是,0,`2025-07-02 15:00:00,,`2025-07-02 15:00:00,否,,,
下周三全天给客户发送节日问候,`2025-06-26 22:10:00,日程,工作,给客户发送节日问候,,,是,0,`2025-07-02 08:00:00,`2025-07-02 20:00:00,,否,,,
下周六全天老同学聚餐,`2025-06-26 22:15:40,日程,应酬,老同学聚餐,,老同学,是,0,`2025-07-05 08:00:00,`2025-07-05 20:00:00,,否,,,
本月25号结婚纪念日,`2025-06-26 22:31:50,日程,家庭,结婚纪念日,,,否,0,,,,否,,,
本月25号维护客户关系，到时提醒我一下,`2025-06-26 22:43:49,待办,工作,维护客户关系,,,否,0,,,,否,,,
下周一全天员工职业发展规划会,`2025-06-26 23:12:22,日程,会议,员工职业发展规划会,,,是,0,`2025-06-30 08:00:00,`2025-06-30 20:00:00,,否,,,
明天下午四点电商平台运营策略讨论会,`2025-06-26 23:18:11,日程,会议,电商平台运营策略讨论会,,,是,0,`2025-06-27 16:00:00,,,否,,,
下周三全天品牌宣传方案策划会议,`2025-06-26 23:32:29,日程,会议,品牌宣传方案策划会议,,,是,0,`2025-07-02 08:00:00,`2025-07-02 20:00:00,,否,,,
下周四全天办公环境优化改造研讨会,`2025-06-27 00:02:29,日程,会议,办公环境优化改造研讨会,,,是,0,`2025-07-03 08:00:00,`2025-07-03 20:00:00,,否,,,
下周二早上9点体检,`2025-06-27 00:10:12,日程,就医,体检,,,是,0,`2025-07-01 09:00:00,,,否,,,
下周二全天成本控制分析会,`2025-06-27 00:32:39,日程,会议,成本控制分析会,,,是,0,`2025-07-01 08:00:00,`2025-07-01 20:00:00,,否,,,
本月20号擦拭镜子，到时提醒我一下,`2025-06-27 00:35:37,待办,家务,擦拭镜子,,,否,0,,,,否,,,
下周一全天撰写年度工作总结报告,`2025-06-27 00:39:24,日程,工作,撰写年度工作总结报告,,,是,0,`2025-06-30 08:00:00,`2025-06-30 20:00:00,,否,,,
明天下午四点年度目标研讨会,`2025-06-27 01:38:32,日程,会议,年度目标研讨会,,,是,0,`2025-06-28 16:00:00,,,否,,,
明天三点挑选节日礼品，到时提醒我一下,`2025-06-27 02:14:50,待办,购物,挑选节日礼品,,,是,0,`2025-06-28 15:00:00,,`2025-06-28 15:00:00,否,,,
下周一全天展会,`2025-06-27 02:16:22,日程,展会,展会,,,是,0,`2025-06-30 08:00:00,`2025-06-30 20:00:00,,否,,,
周四上午10点客服系统升级方案研讨会,`2025-06-27 02:27:49,日程,会议,客服系统升级方案研讨会,,,是,0,`2025-07-03 10:00:00,,,否,,,
周六上午九点半整理归档财务凭证,`2025-06-27 02:38:31,日程,工作,整理归档财务凭证,,,是,0,`2025-06-28 09:30:00,,,否,,,
周五中午12点团队聚餐,`2025-06-27 03:39:22,日程,约见,团队聚餐,,,是,0,`2025-06-27 12:00:00,,,否,,,
下个月5号要整理书架，到时提醒我一下,`2025-06-27 04:31:22,待办,整理,整理书架,,,否,1,,,,否,,,
本月25号分析用户反馈优化建议讨论会,`2025-06-27 04:39:12,日程,会议,分析用户反馈优化建议讨论会,,,否,1,,,,否,,,
下周二全天核对供应商账单,`2025-06-27 05:43:10,日程,工作,核对供应商账单,,,是,0,`2025-07-01 08:00:00,`2025-07-01 20:00:00,,否,,,
下周日下午3点亲子活动,`2025-06-27 06:02:58,日程,活动,亲子活动,,,是,0,`2025-07-06 15:00:00,,,否,,,
大后天下午4点客户需求对接会,`2025-06-27 06:28:54,日程,会议,客户需求对接会,,,是,0,`2025-07-01 16:00:00,,,否,,,
明天下午4点取快递，提醒一下，到时提醒我一下,`2025-06-27 06:51:28,待办,购物,取快递,,,是,0,`2025-06-28 16:00:00,,`2025-06-28 16:00:00,否,,,
周三上午10点半项目进度评审会,`2025-06-27 06:52:07,日程,会议,项目进度评审会,,,是,0,`2025-07-02 10:30:00,,,否,,,
下个月5号撰写季度总结,`2025-06-27 07:18:31,待办,工作,撰写季度总结,,,否,1,,,,否,,,
下周五全天客户投诉分析总结会,`2025-06-27 07:18:38,日程,会议,客户投诉分析总结会,,,是,0,`2025-07-04 08:00:00,`2025-07-04 20:00:00,,否,,,
帮我记下周日下午4点打网球，到时提醒我一下,`2025-06-27 07:54:35,日程,运动,打网球,,,是,0,`2025-07-06 16:00:00,,`2025-07-06 16:00:00,否,,,
周六早上8点团队建设协调会,`2025-06-27 08:11:15,日程,会议,团队建设协调会,,,是,0,`2025-06-28 08:00:00,,,否,,,
帮我记下周四晚上6点约王总吃饭,`2025-06-27 08:18:26,日程,约见,约王总吃饭,,王总,是,0,`2025-07-03 18:00:00,,,否,,,
周六全天年度战略规划研讨会,`2025-06-27 08:46:07,日程,会议,年度战略规划研讨会,,,是,0,`2025-06-28 08:00:00,`2025-06-28 20:00:00,,否,,,
明天下午4点有面试,`2025-06-27 10:12:59,日程,面试,有面试,,,是,0,`2025-06-28 16:00:00,,,否,,,
周四下午3点媒体采访,`2025-06-27 11:08:36,日程,会议,媒体采访,,,是,0,`2025-07-03 15:00:00,,,否,,,
后天下午三点撰写新闻稿,`2025-06-27 11:23:21,待办,工作,撰写新闻稿,,,是,0,`2025-06-29 15:00:00,,,否,,,
下周五全天市场推广资源分配会,`2025-06-27 11:28:59,日程,会议,市场推广资源分配会,,,是,0,`2025-07-04 08:00:00,`2025-07-04 20:00:00,,否,,,
后天下午三点调试直播间设备,`2025-06-27 11:31:21,日程,会议,调试直播间设备,,,是,0,`2025-06-29 15:00:00,,,否,,,
明天上午十点更新 CRM 系统客户信息,`2025-06-27 11:43:48,日程,工作,更新 CRM 系统客户信息,,,是,0,`2025-06-28 10:00:00,,,否,,,
本月31号数据安全管理工作会,`2025-06-27 12:06:26,日程,会议,数据安全管理工作会,,,否,0,,,,否,,,
明天中午12:30团队复盘总结会,`2025-06-27 12:20:16,日程,会议,团队复盘总结会,,,是,0,`2025-06-28 12:30:00,,,否,,,
本月31号线上营销活动复盘会,`2025-06-27 12:22:54,日程,会议,线上营销活动复盘会,,,否,1,,,,否,,,
下周四全天培训,`2025-06-27 12:50:14,日程,工作,培训,,,是,0,`2025-07-03 08:00:00,`2025-07-03 20:00:00,,否,,,
明天下午三点用户调研,`2025-06-27 13:22:02,日程,会议,用户调研,,,是,0,`2025-06-28 15:00:00,,,否,,,
下周五下午要见供应商,`2025-06-27 13:38:27,日程,约见,要见供应商,,供应商,否,1,,,,否,,,
周四下午3点半要见投资人,`2025-06-27 13:38:29,日程,约见,要见投资人,,投资人,是,0,`2025-07-03 15:30:00,,,否,,,
下周三下午2点选购办公用品，到时提醒我一下,`2025-06-27 13:48:46,待办,购物,选购办公用品,,,是,0,`2025-07-02 14:00:00,,`2025-07-02 14:00:00,否,,,
明天中午11:30约了牙医,`2025-06-27 14:05:53,日程,就医,约了牙医,,,是,0,`2025-06-28 11:30:00,,,否,,,
明晚6点部门聚餐,`2025-06-27 14:10:06,日程,应酬,部门聚餐,,,是,0,`2025-06-28 18:00:00,,,否,,,
本月20号宠物洗澡，到时提醒我一下,`2025-06-27 14:30:29,待办,健康,宠物洗澡,,,否,0,,,,否,,,
明天下午2点统计考勤信息,`2025-06-27 14:41:21,日程,工作,统计考勤信息,,,是,0,`2025-06-28 14:00:00,,,否,,,
下周三全天年度经营目标规划会议,`2025-06-27 15:33:07,日程,会议,年度经营目标规划会议,,,是,0,`2025-07-02 08:00:00,`2025-07-02 20:00:00,,否,,,
本月28号下午三点制定工作计划,`2025-06-27 16:27:06,日程,工作,制定工作计划,,,是,0,`2025-06-28 15:00:00,,,否,,,
本月最后一个工作日交报告，到时提醒我一下,`2025-06-27 16:28:52,待办,工作,交报告,,,否,1,,,,否,,,
后天下午三点产品迭代升级规划会,`2025-06-27 16:31:07,日程,会议,产品迭代升级规划会,,,是,0,`2025-06-29 15:00:00,,,否,,,
周五晚上7点约了老王吃饭,`2025-06-27 16:50:24,日程,约见,约了老王吃饭,,老王,是,0,`2025-06-27 19:00:00,,,否,,,
后天上午十点半研发进度沟通会,`2025-06-27 17:37:45,日程,会议,研发进度沟通会,,,是,0,`2025-06-29 10:30:00,,,否,,,
下周六全天施工检查,`2025-06-27 17:39:28,日程,工作,施工检查,,,是,0,`2025-07-05 08:00:00,`2025-07-05 20:00:00,,否,,,
下个月5号种植绿植，到时提醒我一下,`2025-06-27 17:42:38,待办,工作,种植绿植,,,否,0,,,,否,,,
明天早上7点晨跑，到时提醒我一下,`2025-06-27 18:05:40,待办,运动,晨跑,,,是,0,`2025-06-28 07:00:00,,`2025-06-28 07:00:00,否,,,
下周二下午3点购买数码配件，到时提醒我一下,`2025-06-27 18:44:20,待办,购物,购买数码配件,,,是,0,`2025-07-01 15:00:00,,`2025-07-01 15:00:00,否,,,
下周三全天绩效考核制度修订会议,`2025-06-27 18:47:57,日程,会议,绩效考核制度修订会议,,,是,0,`2025-07-02 08:00:00,`2025-07-02 20:00:00,,否,,,
明天晚上8点准备投标材料,`2025-06-27 19:04:13,待办,工作,准备投标材料,,,是,0,`2025-06-28 20:00:00,,,否,,,
下个月8号发版,`2025-06-27 19:04:38,日程,工作,发版,,,否,0,,,,否,,,
后天上午十一点销售渠道拓展策略会,`2025-06-27 19:40:28,日程,会议,销售渠道拓展策略会,,,是,0,`2025-06-29 11:00:00,,,否,,,
周日早上8点新业务拓展研讨会,`2025-06-27 19:55:27,日程,会议,新业务拓展研讨会,,,是,0,`2025-06-29 08:00:00,,,否,,,
下周四全天大模型规划,`2025-06-27 20:09:51,日程,工作,大模型规划,,,是,0,`2025-07-03 08:00:00,`2025-07-03 20:00:00,,否,,,
下周三中午12点午餐会,`2025-06-27 20:31:29,日程,约见,午餐会,,,是,0,`2025-07-02 12:00:00,,,否,,,
本月25号下午两点审议合同修订条款评审会,`2025-06-27 20:38:26,日程,会议,审议合同修订条款评审会,,,是,0,`2025-06-25 14:00:00,,,否,,,
下周四下午两点季度销售业绩复盘会,`2025-06-27 20:53:12,日程,会议,季度销售业绩复盘会,,,是,0,`2025-07-03 14:00:00,,,否,,,
记一下后天下午3到5点要见重要大客户,`2025-06-27 21:34:07,日程,约见,见重要大客户,,重要大客户,是,0,`2025-06-29 15:00:00,`2025-06-29 17:00:00,,否,,,
后天十点半产品升级研讨会,`2025-06-27 22:06:38,日程,会议,产品升级研讨会,,,是,0,`2025-06-29 10:30:00,,,否,,,
下周三全天电商平台运营策略讨论会,`2025-06-27 22:20:13,日程,会议,电商平台运营策略讨论会,,,是,0,`2025-07-02 08:00:00,`2025-07-02 20:00:00,,否,,,
本月31号季度总结,`2025-06-27 22:25:42,待办,工作,季度总结,,,否,2,,,,否,,,
本月27号项目进度管控推进会,`2025-06-27 22:40:22,日程,会议,项目进度管控推进会,,,否,1,,,,否,,,
下个月8号上午九点客户方案修改,`2025-06-27 22:54:19,日程,会议,客户方案修改,,,是,0,`2025-07-08 09:00:00,,,否,,,
下周三下午4点员工培训规划会,`2025-06-27 23:24:45,日程,会议,员工培训规划会,,,是,0,`2025-07-02 16:00:00,,,否,,,
明天上午十一点亮哥座谈会,`2025-06-28 00:01:12,日程,会议,亮哥座谈会,,亮哥,是,0,`2025-06-29 11:00:00,,,否,,,
下周五晚上六点销售激励政策讨论会,`2025-06-28 00:16:20,日程,会议,销售激励政策讨论会,,,是,0,`2025-07-04 18:00:00,,,否,,,
大后天上午10点要入职体检,`2025-06-28 00:28:03,日程,健康,入职体检,,,是,0,`2025-07-02 10:00:00,,,否,,,
本月28号还车贷，到时提醒我一下,`2025-06-28 00:58:46,待办,工作,还车贷,,,否,0,,,,否,,,
下周二全天优化搜索引擎关键词,`2025-06-28 02:01:52,日程,工作,优化搜索引擎关键词,,,是,0,`2025-07-01 08:00:00,`2025-07-01 20:00:00,,否,,,
后天中午十一点半接孩子,`2025-06-28 02:21:39,日程,约见,接孩子,,,是,0,`2025-06-30 11:30:00,,,否,,,
明天早上8点市场推广费用审核会议,`2025-06-28 04:32:49,日程,会议,市场推广费用审核会议,,,是,0,`2025-06-29 08:00:00,,,否,,,
记一下周五晚上7点地坛公园相亲,`2025-06-28 04:43:02,日程,约见,地坛公园相亲,地坛公园,,是,0,`2025-07-04 19:00:00,,,否,,,
下周四全天需求评审,`2025-06-28 04:50:00,日程,会议,需求评审,,,是,0,`2025-07-03 08:00:00,`2025-07-03 20:00:00,,否,,,
周五下午四点检修网络线路故障,`2025-06-28 06:55:39,日程,工作,检修网络线路故障,,,是,0,`2025-07-04 16:00:00,,,否,,,
本月15号清洗衣物，到时提醒我一下,`2025-06-28 06:59:11,待办,家务,清洗衣物,,,否,0,,,,否,,,
本月31号公司年会筹备策划会,`2025-06-28 07:42:58,日程,会议,公司年会筹备策划会,,,否,0,,,,否,,,
下周二全天邮寄包装快递样品,`2025-06-28 07:53:34,待办,物流,邮寄包装快递样品,,,是,0,`2025-07-01 08:00:00,`2025-07-01 20:00:00,,否,,,
帮我记下周日晚上7点购买儿童玩具，到时提醒我一下,`2025-06-28 07:56:40,待办,购物,购买儿童玩具,,,是,0,`2025-07-06 19:00:00,,`2025-07-06 19:00:00,否,,,
明天上午九点用户体验研究,`2025-06-28 08:07:03,日程,会议,用户体验研究,,,是,0,`2025-06-29 09:00:00,,,否,,,
下周日早上9点教堂活动,`2025-06-28 08:25:03,日程,活动,教堂活动,教堂,,是,0,`2025-07-06 09:00:00,,,否,,,
下周二全天拍摄产品宣传视频,`2025-06-28 08:35:30,日程,拍摄,拍摄产品宣传视频,,,是,0,`2025-07-01 08:00:00,`2025-07-01 20:00:00,,否,,,
帮我记下周五晚上7点半采购厨房调料，到时提醒我一下,`2025-06-28 08:50:49,待办,购物,采购厨房调料,,,是,0,`2025-07-04 19:30:00,,`2025-07-04 19:30:00,否,,,
本月25号交流技术难题解决方案会,`2025-06-28 09:04:30,日程,会议,交流技术难题解决方案,,,否,1,,,,否,,,
下周四中午12点参加商业party,`2025-06-28 09:10:07,日程,应酬,参加商业party,,,是,0,`2025-07-03 12:00:00,,,否,,,
周六下午2点约了老王去下棋,`2025-06-28 09:13:32,日程,约见,约了老王去下棋,,老王,是,0,`2025-06-28 14:00:00,,,否,,,
本月20号整理阳台，到时提醒我一下,`2025-06-28 09:24:20,待办,整理,整理阳台,,,否,0,,,,否,,,
下周三晚上7点家长委员交流会,`2025-06-28 09:37:10,日程,会议,家长委员交流会,,,是,0,`2025-07-02 19:00:00,,,否,,,
帮我记下下周一上午十点半项目成本控制分析会,`2025-06-28 09:50:31,日程,会议,项目成本控制分析会,,,是,0,`2025-06-30 10:30:00,,,否,,,
帮我记下下周三下午三点和投资人见面,`2025-06-28 09:55:55,日程,约见,和投资人见面,,投资人,是,0,`2025-07-02 15:00:00,,,否,,,
本月30号年度战略规划会,`2025-06-28 10:03:14,日程,会议,年度战略规划会,,,否,0,,,,否,,,
帮我安排明天早上8点的打篮球，到时提醒我一下,`2025-06-28 10:13:43,待办,运动,打篮球,,,是,0,`2025-06-29 08:00:00,,`2025-06-29 08:00:00,否,,,
后天下午三点准备产品质检材料,`2025-06-28 10:25:35,待办,资料,准备产品质检材料,,,是,0,`2025-06-30 15:00:00,,,否,,,
周五下午四点整理行业研究资料,`2025-06-28 10:39:16,待办,资料,整理行业研究资料,,,是,0,`2025-07-04 16:00:00,,,否,,,
下周六全天去野营,`2025-06-28 10:52:52,日程,出行,去野营,,,是,0,`2025-07-05 08:00:00,`2025-07-05 20:00:00,,否,,,
提醒我明天中午12点平板支撑，到时提醒我一下,`2025-06-28 11:25:19,待办,健康,平板支撑,,,是,0,`2025-06-29 12:00:00,,`2025-06-29 12:00:00,否,,,
明天早上审核报销单据,`2025-06-28 12:18:02,待办,工作,审核报销单据,,,否,1,,,,否,,,
本月最后一个周日整理背包，到时提醒我一下,`2025-06-28 12:28:44,待办,出行,整理背包,,,否,1,,,,否,,,
本月最后一天交报表，到时提醒我一下,`2025-06-28 13:23:04,待办,工作,交报表,,,否,1,,,,否,,,
本月29号上午十点系统测试,`2025-06-28 13:36:16,日程,会议,系统测试,,,是,0,`2025-06-29 10:00:00,,,否,,,
下周六全天去欢乐谷,`2025-06-28 13:55:32,日程,出行,去欢乐谷,欢乐谷,,是,0,`2025-07-05 08:00:00,`2025-07-05 20:00:00,,否,,,
本月30号评审广告创意方案会,`2025-06-28 14:31:01,日程,会议,评审广告创意方案会,,,否,1,,,,否,,,
下周五晚上6点周年庆,`2025-06-28 14:53:23,日程,活动,周年庆,,,是,0,`2025-07-04 18:00:00,,,否,,,
明天早上7点机场接人,`2025-06-28 15:37:34,日程,约见,机场接人,机场,,是,0,`2025-06-29 07:00:00,,,否,,,
周三下午3点半心理咨询,`2025-06-28 16:26:43,日程,就医,心理咨询,,,是,0,`2025-07-02 15:30:00,,,否,,,
本月30号维护公司官网内容,`2025-06-28 16:40:10,待办,工作,维护公司官网内容,,,否,1,,,,否,,,
下周四下午两点供应商合作洽谈会,`2025-06-28 16:41:21,日程,会议,供应商合作洽谈会,,,是,0,`2025-07-03 14:00:00,,,否,,,
周六下午2点挑选家居饰品，到时提醒我一下,`2025-06-28 17:05:18,待办,购物,挑选家居饰品,,,是,0,`2025-06-28 14:00:00,,`2025-06-28 14:00:00,否,,,
后天下午两点调试程序代码,`2025-06-28 18:12:41,日程,工作,调试程序代码,,,是,0,`2025-06-30 14:00:00,,,否,,,
下周一上午9点设计方案内部评审会,`2025-06-28 18:52:11,日程,会议,设计方案内部评审会,,,是,0,`2025-06-30 09:00:00,,,否,,,
明晚8点线上英语课程,`2025-06-28 18:52:25,日程,学习,线上英语课程,,,是,0,`2025-06-29 20:00:00,,,否,,,
本月31号审核广告投放文案,`2025-06-28 19:14:07,待办,工作,审核广告投放文案,,,否,1,,,,否,,,
帮我记下周五下午5点送孩子上课外班,`2025-06-28 19:14:41,待办,出行,送孩子上课外班,,孩子,是,0,`2025-07-04 17:00:00,,,否,,,
下周二上午十点设备采购选型会,`2025-06-28 19:46:40,日程,会议,设备采购选型会,,,是,0,`2025-07-01 10:00:00,,,否,,,
本月31号下午三点营销活动策划方案评审会,`2025-06-28 20:53:54,日程,会议,营销活动策划方案评审会,,,是,0,`2025-06-30 15:00:00,,,否,,,
周六上午9点志愿者活动,`2025-06-28 20:59:45,日程,活动,志愿者活动,,,是,0,`2025-06-28 09:00:00,,,否,,,
本月30号测试软件功能,`2025-06-28 21:04:53,日程,资料,测试软件功能,,,否,1,,,,否,,,
下周五全天品牌联名合作洽谈会,`2025-06-28 21:05:22,日程,会议,品牌联名合作洽谈会,,,是,0,`2025-07-04 08:00:00,`2025-07-04 20:00:00,,否,,,
后天下午两点制作季度销售报表,`2025-06-28 22:36:25,待办,工作,制作季度销售报表,,,是,0,`2025-06-30 14:00:00,,,否,,,
帮我记下下周二上午十点员工绩效考核方案评审会,`2025-06-28 22:37:15,日程,会议,员工绩效考核方案评审会,,,是,0,`2025-07-01 10:00:00,,,否,,,
下个月5号父亲生日,`2025-06-28 22:38:46,日程,家庭,父亲生日,,父亲,否,0,,,,否,,,
下周二全天营销活动策划会,`2025-06-28 22:45:20,日程,会议,营销活动策划会,,,是,0,`2025-07-01 08:00:00,`2025-07-01 20:00:00,,否,,,
本月28号整理客户资料，到时提醒我一下,`2025-06-28 23:07:20,待办,资料,整理客户资料,,,否,1,,,,否,,,
明天下午四点企业文化建设规划会,`2025-06-29 00:37:05,日程,会议,企业文化建设规划会,,,是,0,`2025-06-30 16:00:00,,,否,,,
明天下午两点处理售后问题,`2025-06-29 01:06:43,待办,工作,处理售后问题,,,是,0,`2025-06-30 14:00:00,,,否,,,
本月25号下午两点审查工程施工进度的会,`2025-06-29 01:26:55,日程,会议,审查工程施工进度的会,,,是,0,`2025-06-25 14:00:00,,,否,,,
下个月1号房租到期，到时提醒我一下,`2025-06-29 01:38:26,待办,生活,房租到期,,,否,0,,,,否,,,
周五晚上六点半团建聚餐,`2025-06-29 01:59:01,日程,约见,团建聚餐,,,是,0,`2025-07-04 18:30:00,,,否,,,
下周四全天量子力学研讨会,`2025-06-29 03:31:42,日程,会议,量子力学研讨会,,,是,0,`2025-07-03 08:00:00,`2025-07-03 20:00:00,,否,,,
提醒我下周四中午12点篮球投篮练习，到时提醒我一下,`2025-06-29 03:37:46,待办,运动,篮球投篮练习,,,是,0,`2025-07-03 12:00:00,,`2025-07-03 12:00:00,否,,,
明天下午三点年度预算讨论会,`2025-06-29 03:46:39,日程,会议,年度预算讨论会,,,是,0,`2025-06-30 15:00:00,,,否,,,
明天上午十一点见合作伙伴,`2025-06-29 03:51:48,日程,约见,见合作伙伴,,合作伙伴,是,0,`2025-06-30 11:00:00,,,否,,,
明天下午四点设备采购选型评审会,`2025-06-29 04:42:12,日程,会议,设备采购选型评审会,,,是,0,`2025-06-30 16:00:00,,,否,,,
周四晚上7点整理会议纪要,`2025-06-29 05:19:53,待办,资料,整理会议纪要,,,是,0,`2025-07-03 19:00:00,,,否,,,
明天早上9点送孩子上学,`2025-06-29 05:31:31,待办,出行,送孩子上学,,,是,0,`2025-06-30 09:00:00,,,否,,,
明天下午2点购买烘焙原料，到时提醒我一下,`2025-06-29 05:48:48,待办,购物,购买烘焙原料,,,是,0,`2025-06-30 14:00:00,,`2025-06-30 14:00:00,否,,,
明天十一点战略会议,`2025-06-29 06:00:06,日程,会议,战略会议,,,是,0,`2025-06-30 11:00:00,,,否,,,
下个月15号房贷还款日，到时提醒我一下,`2025-06-29 06:26:54,待办,工作,房贷还款,,,否,0,,,,否,,,
明天上午11点签合同,`2025-06-29 06:38:06,日程,会议,签合同,,,是,0,`2025-06-30 11:00:00,,,否,,,
后天下午三点制定员工培训计划,`2025-06-29 07:10:31,日程,工作,制定员工培训计划,,,是,0,`2025-07-01 15:00:00,,,否,,,
下周二下午2点提案会议,`2025-06-29 07:38:00,日程,会议,提案会议,,,是,0,`2025-07-01 14:00:00,,,否,,,
下周四全天盘点仓库库存,`2025-06-29 07:44:58,日程,工作,盘点仓库库存,,,是,0,`2025-07-03 08:00:00,`2025-07-03 20:00:00,,否,,,
本月31号市场竞品动态研讨会,`2025-06-29 08:16:59,日程,会议,市场竞品动态研讨会,,,否,0,,,,否,,,
后天早上八点足球比赛，到时提醒我一下,`2025-06-29 08:19:45,日程,运动,足球比赛,,,是,0,`2025-07-01 08:00:00,,`2025-07-01 07:55:00,否,,,
下周四早上九点升旗仪式,`2025-06-29 08:30:35,日程,会议,升旗仪式,,,是,0,`2025-07-03 09:00:00,,,否,,,
后天下午两点培训新员工业务流程,`2025-06-29 08:32:29,日程,培训,培训新员工业务流程,,,是,0,`2025-07-01 14:00:00,,,否,,,
下周二全天设计产品包装盒,`2025-06-29 08:48:28,日程,工作,设计产品包装盒,,,是,0,`2025-07-01 08:00:00,`2025-07-01 20:00:00,,否,,,
周三下午3点心理督导,`2025-06-29 09:44:18,日程,会议,心理督导,,,是,0,`2025-07-02 15:00:00,,,否,,,
周五全天产品包装设计方案评审会,`2025-06-29 10:25:07,日程,会议,产品包装设计方案评审会,,,是,0,`2025-07-04 08:00:00,`2025-07-04 20:00:00,,否,,,
周五下午4点购买家具，到时提醒我一下,`2025-06-29 10:37:16,待办,购物,购买家具,,,是,0,`2025-07-04 16:00:00,,`2025-07-04 16:00:00,否,,,
下周二全天行业峰会,`2025-06-29 12:10:51,日程,展会,行业峰会,,,是,0,`2025-07-01 08:00:00,`2025-07-01 20:00:00,,否,,,
下周二全天处理客户售后投诉,`2025-06-29 12:32:04,日程,工作,处理客户售后投诉,,,是,0,`2025-07-01 08:00:00,`2025-07-01 20:00:00,,否,,,
下周日下午4点亲子游泳,`2025-06-29 13:36:53,日程,运动,亲子游泳,,,是,0,`2025-07-06 16:00:00,,,否,,,
下周二全天需求梳理,`2025-06-29 13:48:10,日程,工作,需求梳理,,,是,0,`2025-07-01 08:00:00,`2025-07-01 20:00:00,,否,,,
下周四全天深圳展览会,`2025-06-29 13:58:53,日程,展会,深圳展览会,深圳,,是,0,`2025-07-03 08:00:00,`2025-07-03 20:00:00,,否,,,
本月28号月度复盘,`2025-06-29 14:05:49,日程,工作,月度复盘,,,否,1,,,,否,,,
下周四下午两点跨部门协作优化沟通会,`2025-06-29 14:15:04,日程,会议,跨部门协作优化沟通会,,,是,0,`2025-07-03 14:00:00,,,否,,,
明天中午12点和刘珊瑞吃饭,`2025-06-29 15:21:12,日程,约见,和刘珊瑞吃饭,,刘珊瑞,是,0,`2025-06-30 12:00:00,,,否,,,
下周四晚上7点家长开放日,`2025-06-29 16:25:09,日程,会议,家长开放日,,,是,0,`2025-07-03 19:00:00,,,否,,,
周六早上10点采购清洁工具，到时提醒我一下,`2025-06-29 17:40:49,待办,购物,采购清洁工具,,,是,0,`2025-07-05 10:00:00,,`2025-07-05 10:00:00,否,,,
明天下午两点约朋友聚餐,`2025-06-29 17:43:44,日程,约见,约朋友聚餐,,朋友,是,0,`2025-06-30 14:00:00,,,否,,,
周六上午九点研发成果转化推进会,`2025-06-29 17:45:05,日程,会议,研发成果转化推进会,,,是,0,`2025-07-05 09:00:00,,,否,,,
后天晚上7点团队建设沟通会,`2025-06-29 19:09:57,日程,会议,团队建设沟通会,,,是,0,`2025-07-01 19:00:00,,,否,,,
后天上午十一点质量问题整改落实会,`2025-06-29 19:47:55,日程,会议,质量问题整改落实会,,,是,0,`2025-07-01 11:00:00,,,否,,,
下个月10号更换窗帘，到时提醒我一下,`2025-06-29 20:06:15,待办,家务,更换窗帘,,,否,0,,,,否,,,
本月28号财务内控管理优化会议,`2025-06-29 20:19:57,日程,会议,财务内控管理优化会议,,,否,1,,,,否,,,
周四全天要出差参加行业研讨,`2025-06-29 20:26:37,日程,差旅,出差参加行业研讨,,,是,0,`2025-07-03 08:00:00,`2025-07-03 20:00:00,,否,,,
下周三全天设计宣传海报,`2025-06-29 20:44:37,日程,工作,设计宣传海报,,,是,0,`2025-07-02 08:00:00,`2025-07-02 20:00:00,,否,,,
下周三下午1点半进行工会代表座谈会,`2025-06-29 20:51:30,日程,会议,工会代表座谈会,,,是,0,`2025-07-02 13:30:00,,,否,,,
明天上午十一点述职汇报,`2025-06-29 20:52:30,日程,会议,述职汇报,,,是,0,`2025-06-30 11:00:00,,,否,,,
下周四全天技术创新项目启动会,`2025-06-29 21:41:05,日程,会议,技术创新项目启动会,,,是,0,`2025-07-03 08:00:00,`2025-07-03 20:00:00,,否,,,
下个月5号要购买日用品，到时提醒我一下,`2025-06-29 22:24:46,待办,购物,购买日用品,,,否,1,,,,否,,,
本月28号编写工作总结，到时提醒我一下,`2025-06-29 22:42:56,待办,工作,编写工作总结,,,否,0,,,,否,,,
